portfolio_category,index,display_title,display_description,source_title,source_description,portfolio_caption,summary_description,thumbnail_url,platform,watch_url,portfolio_page_url,source_author,video_id,embed_url,source_metadata_status
GAME TRAILERS/TEASERS,11,Official Destiny EV-30 Tumbler Sparrow Trailer,"The EV-30 Tumbler Sparrow is a thrilling personal vehicle included with Destiny Expansion I: The Dark Below. Buy the Destiny Expansion Pass: http://www.destinythegame.com/wheretobuy?bundle=expansionPass Guardians who purchase and redeem Destiny Expansion Pass or Destiny Expansion I: The Dark Below by January 15, 2015 will receive the EV-30 Tumbler Sparrow, enabling its riders to drive fast, take flight, and perform a set of mid-air tricks. Guardians who have already purchased or will purchase and redeem Destiny Expansion Pass will receive the EV-30 Tumbler Sparrow from the in-game Postmaster at the time of redemption. Guardians who have already purchased or will purchase and redeem Destiny Expansion I: The Dark Below will receive the EV-30 Tumbler Sparrow from the in-game Postmaster starting on December 9, 2014.",Official Destiny EV-30 Tumbler Sparrow Trailer,"The EV-30 Tumbler Sparrow is a thrilling personal vehicle included with Destiny Expansion I: The Dark Below. Buy the Destiny Expansion Pass: http://www.destinythegame.com/wheretobuy?bundle=expansionPass Guardians who purchase and redeem Destiny Expansion Pass or Destiny Expansion I: The Dark Below by January 15, 2015 will receive the EV-30 Tumbler Sparrow, enabling its riders to drive fast, take flight, and perform a set of mid-air tricks. Guardians who have already purchased or will purchase and redeem Destiny Expansion Pass will receive the EV-30 Tumbler Sparrow from the in-game Postmaster at the time of redemption. Guardians who have already purchased or will purchase and redeem Destiny Expansion I: The Dark Below will receive the EV-30 Tumbler Sparrow from the in-game Postmaster starting on December 9, 2014.",Official Destiny EV-30 Tumbler Sparrow Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",https://i.ytimg.com/vi/F7renQhqEyo/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=F7renQhqEyo,https://zbutcher.myportfolio.com/game-trailers,Destiny 2,F7renQhqEyo,https://www.youtube.com/embed/F7renQhqEyo,HTTP 200
GAME TRAILERS/TEASERS,12,Official Destiny: The Taken King Crucible Preview Event,"Are you looking for trouble, Guardian? For one week only, from 9/8/2015 to 9/14/2015, all Destiny players* can preview the new maps and modes available in The Taken King. *Some abilities and features in the gameplay footage are not available until launch of Destiny: The Taken King. To continue playing The Taken King content beyond September 14, 2015, purchase of Destiny: The Taken King is required.",Official Destiny: The Taken King Crucible Preview Event,"Are you looking for trouble, Guardian? For one week only, from 9/8/2015 to 9/14/2015, all Destiny players* can preview the new maps and modes available in The Taken King. *Some abilities and features in the gameplay footage are not available until launch of Destiny: The Taken King. To continue playing The Taken King content beyond September 14, 2015, purchase of Destiny: The Taken King is required.",Destiny: The Taken King - Crucible Preview Event,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",https://i.ytimg.com/vi/zTiCFIwW37Y/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=zTiCFIwW37Y,https://zbutcher.myportfolio.com/game-trailers,Bungie,zTiCFIwW37Y,https://www.youtube.com/embed/zTiCFIwW37Y,HTTP 200
GAME TRAILERS/TEASERS,13,Official Destiny Competitive Multiplayer Trailer,"Enter the Crucible to hone your skills against other Guardians in competitive multiplayer arenas that span the solar system. As you engage in multiplayer combat, victory will earn you special armor, weapons, and gear that you can take with you into every single mode of play. It’s time to fight, Guardians. See you in the Crucible. Pre-Order Destiny to gear up for day one with early access* to Vanguard weapons, gear, and a player emblem: http://www.destinythegame.com/wheretobuy. Keep up with all of the latest information by following us on Facebook (http://www.facebook.com/destinythegame) and on Twitter (@DestinytheGame and @Bungie). Visit www.destinythegame.com or www.bungie.net to learn more. *Access to Vanguard Armory can also be attained through gameplay. © 2014 Bungie, Inc. All rights reserved. Destiny, the Destiny Logo, Bungie and the Bungie Logo are among the trademarks of Bungie…",Official Destiny Competitive Multiplayer Trailer,"Enter the Crucible to hone your skills against other Guardians in competitive multiplayer arenas that span the solar system. As you engage in multiplayer combat, victory will earn you special armor, weapons, and gear that you can take with you into every single mode of play. It’s time to fight, Guardians. See you in the Crucible. Pre-Order Destiny to gear up for day one with early access* to Vanguard weapons, gear, and a player emblem: http://www.destinythegame.com/wheretobuy. Keep up with all of the latest information by following us on Facebook (http://www.facebook.com/destinythegame) and on Twitter (@DestinytheGame and @Bungie). Visit www.destinythegame.com or www.bungie.net to learn more. *Access to Vanguard Armory can also be attained through gameplay. © 2014 Bungie, Inc. All rights reserved. Destiny, the Destiny Logo, Bungie and the Bungie Logo are among the trademarks of Bungie…",Official Destiny Competitive Multiplayer Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",https://i.ytimg.com/vi/20opyh1pLYg/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=20opyh1pLYg,https://zbutcher.myportfolio.com/game-trailers,Destiny 2,20opyh1pLYg,https://www.youtube.com/embed/20opyh1pLYg,HTTP 200
GAME TRAILERS/TEASERS,14,FIFA 13 MESSI: E3 First Gameplay Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood.",FIFA 13 MESSI: E3 First Gameplay Trailer,,FIFA 13 MESSI: E3 First Gameplay Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood.",https://i.vimeocdn.com/video/1829158544-2b6b77f06fab57ffada6443ebfa78a8fae3649bdbb29632988bfaed49d8abaf3-d_295x166?region=us,Vimeo,https://vimeo.com/931744685,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931744685,https://player.vimeo.com/video/931744685?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 404
GAME TRAILERS/TEASERS,15,"EA: ""Medal of Honor - Pacific Assault"" Trailer (Golden Trailer Award)","Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Title was recovered from video-provider metadata rather than portfolio caption.","EA: ""Medal of Honor - Pacific Assault"" Trailer (Golden Trailer Award)",,,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Title was recovered from video-provider metadata rather than portfolio caption.",https://i.vimeocdn.com/video/1829352740-412b2557df71a969b5e83695a1eecaf2ad499e9264a2a396eb34f2c65ad2f91b-d_295x166?region=us,Vimeo,https://vimeo.com/931886318,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931886318,https://player.vimeo.com/video/931886318?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME TRAILERS/TEASERS,16,Medal of Honor: Pacific Assault - Directors Edition Trailer,Gameuncut.com,Medal of Honor: Pacific Assault - Directors Edition Trailer,Gameuncut.com,"Electronic Art's ""Medal of Honor: Pacific Assault"" Director's Edition",Portfolio video embedded as an example of editorial work.,https://i.ytimg.com/vi/fh4ix3OeiFc/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=fh4ix3OeiFc,https://zbutcher.myportfolio.com/game-trailers,gameuncut,fh4ix3OeiFc,https://www.youtube.com/embed/fh4ix3OeiFc?si=CDsSxwN_IaF4fzYe,HTTP 200
GAME TRAILERS/TEASERS,17,"George Romero's Land of the Dead: ""Viddler's Green"" - Game Trailer","Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood.","George Romero's Land of the Dead: ""Viddler's Green"" - Game Trailer",,"George Romero's Land of the Dead: ""Viddler's Green"" - Game Trailer","Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood.",https://i.vimeocdn.com/video/1829172587-3301fe211b2a093a96f619978d02858df21583cce2d810b70d4d10aaff6e9da2-d_295x166?region=us,Vimeo,https://vimeo.com/931775616,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931775616,https://player.vimeo.com/video/931775616?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME TRAILERS/TEASERS,18,"Spore Hero: ""Hero Arena"" - Game Trailer","Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood.","Spore Hero: ""Hero Arena"" - Game Trailer",,"Spore Hero: ""Hero Arena"" Game Trailer","Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood.",https://i.vimeocdn.com/video/1829184066-dbea3b06e7e596ea9de7aa07782a7b3113e2e316827c09e0605760275df625bc-d_295x166?region=us,Vimeo,https://vimeo.com/931782792,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931782792,https://player.vimeo.com/video/931782792?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME TRAILERS/TEASERS,19,"Spore Hero: ""Make Yourself a Hero"" - Game Trailer","Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood.","Spore Hero: ""Make Yourself a Hero"" - Game Trailer",,"Spore Hero: ""Make Yourself a Hero"" Game Trailer​​​​​​​","Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood.",https://i.vimeocdn.com/video/1829197894-c3d217616d225f8a54ac40be937192b5f2cac403ef73a5e2db2067b979fa63dc-d_295x166?region=us,Vimeo,https://vimeo.com/931790204,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931790204,https://player.vimeo.com/video/931790204?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME MONTAGE/VIDOCS,1,Xbox Game Pass - X019 - Announcing New Games,"Announcing new games coming to Xbox Game Pass on console and PC this holiday and in 2020. Learn more here: http://www.xbox.com/gamepass. Discover your next favorite game with Xbox Game Pass. Ultimate includes Xbox Live Gold and unlimited access to over 100 console & PC games —with titles added all the time. Whether you play console games, PC games, or both, there’s something for you to discover. Download and play new games on day one like The Outer Worlds and Gears 5, and critically-acclaimed indie titles like Hollow Knight and Human Fall Flat—plus recent blockbusters like Metro Exodus and Devil May Cry 5. Enjoy exclusive member deals and discounts. Join Xbox Game Pass Ultimate for one low monthly price and discover your next favorite game. Game catalogue varies over time and by region. xbox.com/gamepass.",Xbox Game Pass - X019 - Announcing New Games,"Announcing new games coming to Xbox Game Pass on console and PC this holiday and in 2020. Learn more here: http://www.xbox.com/gamepass. Discover your next favorite game with Xbox Game Pass. Ultimate includes Xbox Live Gold and unlimited access to over 100 console & PC games —with titles added all the time. Whether you play console games, PC games, or both, there’s something for you to discover. Download and play new games on day one like The Outer Worlds and Gears 5, and critically-acclaimed indie titles like Hollow Knight and Human Fall Flat—plus recent blockbusters like Metro Exodus and Devil May Cry 5. Enjoy exclusive member deals and discounts. Join Xbox Game Pass Ultimate for one low monthly price and discover your next favorite game. Game catalogue varies over time and by region. xbox.com/gamepass.",XBOX Game Pass - Games Reveal Announcement,"Game-focused documentary/montage piece, likely combining gameplay, developer/story context, and promotional pacing. Focuses on Xbox Game Pass catalog/service promotion.",https://i.ytimg.com/vi/uwxOgitOXfc/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=uwxOgitOXfc,https://zbutcher.myportfolio.com/game-montages,XBOX,uwxOgitOXfc,https://www.youtube.com/embed/uwxOgitOXfc,HTTP 200
GAME MONTAGE/VIDOCS,2,Coming Soon to Xbox Game Pass This Holiday (The Game Awards 2020 Announce)_HD,x box series new games coming soon pc new games,Coming Soon to Xbox Game Pass This Holiday (The Game Awards 2020 Announce)_HD,x box series new games coming soon pc new games,Xbox Game Pass This Holiday - Game Awards Announce,"Game-focused documentary/montage piece, likely combining gameplay, developer/story context, and promotional pacing. Focuses on Xbox Game Pass catalog/service promotion.",https://i.ytimg.com/vi/DgT30ab-eV8/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=DgT30ab-eV8,https://zbutcher.myportfolio.com/game-montages,Games Trailers,DgT30ab-eV8,https://www.youtube.com/embed/DgT30ab-eV8?si=2VG2x8erJ8dVq7So,HTTP 200
GAME MONTAGE/VIDOCS,3,Bungie ViDoc – The Moon and Beyond,"“We’re here to build something that lives.” The development team at Bungie discusses Shadowkeep’s impending launch and beyond. In an evolving world, enjoy it for free with New Light and across any platform with Cross Save. Customize your Guardian in new ways with Armor 2.0, Seasonal Artifacts, and all new weapons. PRE-ORDER SHADOWKEEP: bung.ie/Buy FOLLOW DESTINY: Facebook: https://www.facebook.com/DestinyTheGame Twitter: https://www.twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame FOLLOW BUNGIE: Facebook: https://www.facebook.com/Bungie/ Twitter: https://www.twitter.com/bungie Instagram: https://www.instagram.com/bungie/",Bungie ViDoc – The Moon and Beyond,"“We’re here to build something that lives.” The development team at Bungie discusses Shadowkeep’s impending launch and beyond. In an evolving world, enjoy it for free with New Light and across any platform with Cross Save. Customize your Guardian in new ways with Armor 2.0, Seasonal Artifacts, and all new weapons. PRE-ORDER SHADOWKEEP: bung.ie/Buy FOLLOW DESTINY: Facebook: https://www.facebook.com/DestinyTheGame Twitter: https://www.twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame FOLLOW BUNGIE: Facebook: https://www.facebook.com/Bungie/ Twitter: https://www.twitter.com/bungie Instagram: https://www.instagram.com/bungie/",Bungie ViDoc: The Moon and Beyond,"Game-focused documentary/montage piece, likely combining gameplay, developer/story context, and promotional pacing.",https://i.ytimg.com/vi/mEvVKCKdtfw/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=mEvVKCKdtfw,https://zbutcher.myportfolio.com/game-montages,Bungie,mEvVKCKdtfw,https://www.youtube.com/embed/mEvVKCKdtfw,HTTP 200
GAME MONTAGE/VIDOCS,4,Bungie ViDoc - Out of the Shadows,"The developers at Bungie reveal Destiny 2: Shadowkeep. A new chapter for Destiny 2 and the studio begins this September. The next chapter for Destiny 2 will reunite you with an old ally to confront new nightmares. This fall, on September 17th, Guardians will return to our moon – twisted, reshaped, and haunted by our past – to confront new threats and uncover new additions to their customized arsenal. Learn more about Destiny 2: Shadowkeep: bungie.net Pre-Order Destiny 2: Shadowkeep: destinythegame.com FOLLOW DESTINY: Facebook: https://www.facebook.com/DestinyTheGame Twitter: https://www.twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame FOLLOW BUNGIE: Facebook: https://www.facebook.com/Bungie/ Twitter: https://www.twitter.com/bungie Instagram: https://www.instagram.com/bungie/",Bungie ViDoc - Out of the Shadows,"The developers at Bungie reveal Destiny 2: Shadowkeep. A new chapter for Destiny 2 and the studio begins this September. The next chapter for Destiny 2 will reunite you with an old ally to confront new nightmares. This fall, on September 17th, Guardians will return to our moon – twisted, reshaped, and haunted by our past – to confront new threats and uncover new additions to their customized arsenal. Learn more about Destiny 2: Shadowkeep: bungie.net Pre-Order Destiny 2: Shadowkeep: destinythegame.com FOLLOW DESTINY: Facebook: https://www.facebook.com/DestinyTheGame Twitter: https://www.twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame FOLLOW BUNGIE: Facebook: https://www.facebook.com/Bungie/ Twitter: https://www.twitter.com/bungie Instagram: https://www.instagram.com/bungie/",Bungie ViDoc: Out of the Shadows,"Game-focused documentary/montage piece, likely combining gameplay, developer/story context, and promotional pacing.",https://i.ytimg.com/vi/WVk4PkTG99o/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=WVk4PkTG99o,https://zbutcher.myportfolio.com/game-montages,Bungie,WVk4PkTG99o,https://www.youtube.com/embed/WVk4PkTG99o,HTTP 200
GAME MONTAGE/VIDOCS,5,Bungie ViDoc – Season of the Drifter,"As a new season of Destiny begins, developers from Bungie are back on the record about how our shared adventure is about to evolve again. The Drifter is back with a new way to play Gambit, along with a full calendar of new challenges to make your Guardian more powerful. Learn more about Season of the Drifter on Bungie.net. https://www.bungie.net/en/Explore/Detail/News/47648 Buy the Annual Pass now at https://www.destinythegame.com/buy FOLLOW BUNGIE: Twitter: https://www.twitter.com/bungie Instagram: https://www.instagram.com/bungie Facebook: https://www.facebook.com/Bungie FOLLOW DESTINY: Twitter: https://www.twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame Facebook: https://www.facebook.com/DestinyTheGame",Bungie ViDoc – Season of the Drifter,"As a new season of Destiny begins, developers from Bungie are back on the record about how our shared adventure is about to evolve again. The Drifter is back with a new way to play Gambit, along with a full calendar of new challenges to make your Guardian more powerful. Learn more about Season of the Drifter on Bungie.net. https://www.bungie.net/en/Explore/Detail/News/47648 Buy the Annual Pass now at https://www.destinythegame.com/buy FOLLOW BUNGIE: Twitter: https://www.twitter.com/bungie Instagram: https://www.instagram.com/bungie Facebook: https://www.facebook.com/Bungie FOLLOW DESTINY: Twitter: https://www.twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame Facebook: https://www.facebook.com/DestinyTheGame",Bungie ViDoc - Destiny 2: Season of the Drifter,"Game-focused documentary/montage piece, likely combining gameplay, developer/story context, and promotional pacing. Destiny/Bungie-related sci-fi action material is prominent.",https://i.ytimg.com/vi/XNwmc5vMkLM/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=XNwmc5vMkLM,https://zbutcher.myportfolio.com/game-montages,Bungie,XNwmc5vMkLM,https://www.youtube.com/embed/XNwmc5vMkLM,HTTP 200
